N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
63,맥쿼리인프라,"13,600",0,0.00%,0,"55,059","404,846",14.03,"782,254",N/A,N/A,
64,삼성엔지니어링,"27,850","1,250",+4.70%,"5,000","54,586","196,000",39.36,"3,994,455",14.66,20.67,
65,F&F,"705,000","94,000",-11.76%,500,"54,013","7,661",14.47,"140,736",N/A,N/A,
66,현대제철,"39,500",300,+0.77%,"5,000","52,711","133,446",20.86,"498,393",6.05,-2.59,
67,CJ제일제당,"343,000","5,500",-1.58%,"5,000","51,636","15,054",22.39,"26,642",11.70,13.50,
68,삼성중공업,"5,790",70,-1.19%,"1,000","50,952","880,000",14.87,"3,389,045",-2.82,-36.89,
69,KODEX 200,"35,785",100,-0.28%,0,"50,654","141,550",11.37,"3,987,092",N/A,N/A,
70,미래에셋증권,"8,210",50,+0.61%,"5,000","50,517","615,316",13.69,"1,153,837",5.62,8.94,
71,코웨이,"66,000","1,400",-2.08%,500,"48,708","73,800",61.05,"166,717",10.93,31.51,
72,SKC,"126,000","5,000",-3.82%,"5,000","47,714","37,868",16.59,"218,596",25.67,2.21,
73,메리츠화재,"38,650","1,350",+3.62%,500,"46,622","120,625",11.94,"334,045",8.02,16.91,
74,금호석유,"152,000","1,500",+1.00%,"5,000","46,050","30,296",20.14,"80,364",2.72,20.18,
75,메리츠금융지주,"31,700",200,+0.63%,500,"42,482","134,011",8.36,"342,794",5.97,16.06,
76,한국금융지주,"75,800",700,-0.92%,"5,000","42,240","55,726",34.86,"171,332",2.59,16.27,
77,유한양행,"57,400",800,-1.37%,"1,000","42,035","73,231",17.48,"132,414",41.62,5.45,
78,DB손해보험,"58,700","1,100",+1.91%,500,"41,560","70,800",42.93,"112,450",5.21,9.08,
79,현대중공업지주,"52,500",400,-0.76%,"1,000","41,471","78,993",16.44,"86,697",-12.17,-8.12,
80,한국타이어앤테크놀로지,"33,150",600,-1.78%,500,"41,065","123,875",40.92,"221,078",6.22,5.12,
81,GS건설,"47,950",500,+1.05%,"5,000","41,036","85,581",26.81,"1,395,121",11.68,7.68,
82,쌍용C&E,"8,090",140,-1.70%,100,"40,762","503,860",3.32,"1,138,613",19.78,7.92,
83,팬오션,"7,540",50,+0.67%,"1,000","40,307","534,570",12.69,"4,941,962",12.96,3.25,
84,두산밥캣,"39,050","2,050",+5.54%,500,"39,147","100,249",25.22,"311,872",10.68,6.15,
85,메리츠증권,"5,710",60,+1.06%,"1,000","38,927","681,731",12.72,"1,015,350",5.80,13.08,
